,county,year,asthma_rate,number_of_cases
0,Alameda,2017,56.04,8916.0
1,Alpine,2017,,
2,Amador,2017,56.02,175.0
3,Butte,2017,45.29,935.0
4,Calaveras,2017,54.51,197.0
5,Colusa,2017,28.28,62.0
6,Contra Costa,2017,62.21,6697.0
7,Del Norte,2017,59.78,148.0
8,El Dorado,2017,40.66,649.0
9,Fresno,2017,75.31,7775.0
10,Glenn,2017,45.63,129.0
11,Humboldt,2017,66.62,848.0
12,Imperial,2017,65.49,1290.0
13,Inyo,2017,71.14,110.0
14,Kern,2017,52.13,4840.0
15,Kings,2017,67.87,1072.0
16,Lake,2017,79.75,481.0
17,Lassen,2017,43.87,130.0
18,Los Angeles,2017,49.85,49365.0
19,Madera,2017,61.78,978.0
20,Marin,2017,23.33,563.0
21,Mariposa,2017,46.04,63.0
22,Mendocino,2017,70.37,563.0
23,Merced,2017,73.9,2063.0
24,Modoc,2017,106.26,77.0
25,Mono,2017,31.92,40.0
26,Monterey,2017,42.82,1913.0
27,Napa,2017,39.65,535.0
28,Nevada,2017,38.34,306.0
29,Orange,2017,29.65,9069.0
30,Placer,2017,34.6,1191.0
31,Plumas,2017,62.32,86.0
32,Riverside,2017,43.06,10057.0
33,Sacramento,2017,68.18,10105.0
34,San Benito,2017,60.76,339.0
35,San Bernardino,2017,51.21,11181.0
36,San Diego,2017,31.65,10323.0
37,San Francisco,2017,41.74,3240.0
38,San Joaquin,2017,65.61,4869.0
39,San Luis Obispo,2017,33.13,799.0
40,San Mateo,2017,31.63,2342.0
41,Santa Barbara,2017,33.48,1467.0
42,Santa Clara,2017,30.52,5849.0
43,Santa Cruz,2017,29.88,770.0
44,Shasta,2017,45.19,720.0
45,Sierra,2017,,
46,Siskiyou,2017,42.03,159.0
47,Solano,2017,91.11,3844.0
48,Sonoma,2017,41.34,1937.0
49,Stanislaus,2017,56.49,3070.0
50,Sutter,2017,31.53,300.0
51,Tehama,2017,59.26,348.0
52,Trinity,2017,50.16,55.0
53,Tulare,2017,43.28,2132.0
54,Tuolumne,2017,53.54,244.0
55,Ventura,2017,34.62,2826.0
56,Yolo,2017,43.1,890.0
57,Yuba,2017,47.78,366.0
58,Alameda,2018,48.4,7778.0
59,Alpine,2018,,
60,Amador,2018,43.83,137.0
61,Butte,2018,42.13,906.0
62,Calaveras,2018,51.8,185.0
63,Colusa,2018,53.47,118.0
64,Contra Costa,2018,55.1,5991.0
65,Del Norte,2018,53.22,132.0
66,El Dorado,2018,34.19,564.0
67,Fresno,2018,66.96,6928.0
68,Glenn,2018,35.88,101.0
69,Humboldt,2018,53.04,686.0
70,Imperial,2018,57.85,1146.0
71,Inyo,2018,49.03,81.0
72,Kern,2018,46.18,4290.0
73,Kings,2018,53.69,832.0
74,Lake,2018,86.34,503.0
75,Lassen,2018,37.84,112.0
76,Los Angeles,2018,47.03,46644.0
77,Madera,2018,50.88,812.0
78,Marin,2018,24.14,583.0
79,Mariposa,2018,47.31,68.0
80,Mendocino,2018,61.89,504.0
81,Merced,2018,59.87,1704.0
82,Modoc,2018,109.15,84.0
83,Mono,2018,54.77,65.0
84,Monterey,2018,36.09,1613.0
85,Napa,2018,37.03,510.0
86,Nevada,2018,26.02,219.0
87,Orange,2018,26.45,8168.0
88,Placer,2018,32.86,1151.0
89,Plumas,2018,61.1,92.0
90,Riverside,2018,37.73,8910.0
91,Sacramento,2018,64.1,9633.0
92,San Benito,2018,56.48,318.0
93,San Bernardino,2018,47.22,10331.0
94,San Diego,2018,28.69,9424.0
95,San Francisco,2018,36.18,2854.0
96,San Joaquin,2018,60.31,4519.0
97,San Luis Obispo,2018,28.06,692.0
98,San Mateo,2018,27.38,2050.0
99,Santa Barbara,2018,27.37,1207.0
100,Santa Clara,2018,26.25,5084.0
101,Santa Cruz,2018,27.79,721.0
102,Shasta,2018,38.38,604.0
103,Sierra,2018,53.5,12.0
104,Siskiyou,2018,34.12,138.0
105,Solano,2018,79.02,3344.0
106,Sonoma,2018,37.71,1766.0
107,Stanislaus,2018,52.66,2899.0
108,Sutter,2018,29.8,291.0
109,Tehama,2018,48.01,288.0
110,Trinity,2018,59.8,57.0
111,Tulare,2018,32.11,1598.0
112,Tuolumne,2018,47.32,220.0
113,Ventura,2018,30.31,2465.0
114,Yolo,2018,38.93,804.0
115,Yuba,2018,42.9,333.0
116,Alameda,2019,46.34,7432.0
117,Alpine,2019,,
118,Amador,2019,52.68,169.0
119,Butte,2019,37.77,752.0
120,Calaveras,2019,58.8,199.0
121,Colusa,2019,47.17,103.0
122,Contra Costa,2019,54.97,5888.0
123,Del Norte,2019,48.0,117.0
124,El Dorado,2019,33.25,539.0
125,Fresno,2019,63.37,6588.0
126,Glenn,2019,40.41,118.0
127,Humboldt,2019,49.54,614.0
128,Imperial,2019,61.9,1197.0
129,Inyo,2019,60.97,92.0
130,Kern,2019,46.57,4278.0
131,Kings,2019,47.49,752.0
132,Lake,2019,90.9,508.0
133,Lassen,2019,36.67,101.0
134,Los Angeles,2019,47.95,46731.0
135,Madera,2019,50.11,779.0
136,Marin,2019,23.27,540.0
137,Mariposa,2019,37.75,63.0
138,Mendocino,2019,61.11,488.0
139,Merced,2019,59.66,1687.0
140,Modoc,2019,91.93,67.0
141,Mono,2019,47.89,51.0
142,Monterey,2019,36.95,1630.0
143,Napa,2019,37.75,496.0
144,Nevada,2019,27.74,218.0
145,Orange,2019,27.26,8315.0
146,Placer,2019,29.45,1036.0
147,Plumas,2019,56.34,86.0
148,Riverside,2019,39.48,9237.0
149,Sacramento,2019,59.48,8986.0
150,San Benito,2019,58.02,340.0
151,San Bernardino,2019,50.06,10877.0
152,San Diego,2019,30.2,9860.0
153,San Francisco,2019,33.21,2666.0
154,San Joaquin,2019,58.01,4373.0
155,San Luis Obispo,2019,31.87,762.0
156,San Mateo,2019,26.21,1983.0
157,Santa Barbara,2019,28.11,1225.0
158,Santa Clara,2019,24.29,4646.0
159,Santa Cruz,2019,30.52,796.0
160,Shasta,2019,39.94,630.0
161,Sierra,2019,,
162,Siskiyou,2019,40.79,148.0
163,Solano,2019,71.26,2986.0
164,Sonoma,2019,32.65,1487.0
165,Stanislaus,2019,52.93,2887.0
166,Sutter,2019,27.19,274.0
167,Tehama,2019,46.61,273.0
168,Trinity,2019,43.23,47.0
169,Tulare,2019,40.67,1994.0
170,Tuolumne,2019,44.83,185.0
171,Ventura,2019,30.65,2410.0
