County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Alameda,2017,365,106,245,9,4,1,0,205,78,56,0,6,51,308,0,2018,365,77,271,5,9,3,0,248,79,57,0,1,22,342,0,2019,365,183,174,8,0,0,0,150,67,50,0,11,94,260,0,2020,366,169,177,8,11,1,0,243,81,52,0,6,87,273,0,2021,365,155,200,9,1,0,0,151,71,53,0,3,99,263,0
Amador,2017,362,291,67,4,0,0,0,136,64,38,0,0,362,0,0,2018,364,288,70,6,0,0,0,129,71,40,0,0,364,0,0,2019,355,308,45,2,0,0,0,115,51,39,0,0,355,0,0,2020,359,327,29,2,1,0,0,156,50,37,0,0,359,0,0,2021,365,307,54,4,0,0,0,133,67,37,0,0,365,0,0
Butte,2017,365,100,241,23,1,0,0,155,95,59,0,0,150,213,2,2018,365,97,228,22,10,3,5,682,104,59,0,0,148,216,1,2019,365,171,189,3,2,0,0,180,71,51,0,0,121,243,1,2020,366,149,178,18,16,3,2,508,110,54,0,0,159,204,3,2021,365,160,174,18,10,3,0,257,90,53,0,0,177,185,3
Calaveras,2017,354,118,222,12,2,0,0,172,87,57,0,0,198,155,1,2018,364,52,292,14,6,0,0,160,87,58,0,0,71,293,0,2019,360,288,71,1,0,0,0,108,60,43,0,0,297,62,1,2020,364,206,135,10,12,1,0,210,79,48,0,0,182,177,5,2021,364,220,135,6,3,0,0,178,77,46,0,0,216,148,0
Colusa,2017,365,237,120,7,0,1,0,213,67,43,0,0,168,179,18,2018,365,206,131,10,17,1,0,299,84,46,0,0,138,210,17,2019,365,260,105,0,0,0,0,85,61,41,0,0,152,173,40,2020,366,218,116,9,22,1,0,221,87,42,0,0,148,190,28,2021,365,111,238,9,6,1,0,225,76,55,0,0,60,291,14
Contra Costa,2017,365,131,222,8,4,0,0,175,76,54,0,0,55,310,0,2018,365,111,236,7,8,3,0,270,74,55,0,0,45,320,0,2019,365,238,123,4,0,0,0,129,64,43,0,3,171,190,1,2020,366,192,156,7,10,1,0,221,75,49,0,2,107,257,0,2021,365,195,165,5,0,0,0,150,69,47,0,0,139,226,0
Del Norte,2017,298,241,55,0,1,1,0,251,56,27,0,0,0,298,0,2018,180,134,46,0,0,0,0,80,58,33,0,0,0,180,0,2019,248,210,38,0,0,0,0,74,53,26,0,0,0,248,0,2020,292,193,90,4,3,2,0,245,61,42,0,0,0,292,0,2021,323,259,64,0,0,0,0,72,54,31,0,0,0,323,0
El Dorado,2017,362,235,96,31,0,0,0,147,100,45,0,0,327,7,28,2018,365,221,107,27,9,1,0,203,101,45,0,0,347,9,9,2019,365,273,86,6,0,0,0,122,74,43,0,0,353,3,9,2020,366,256,87,17,6,0,0,190,90,43,0,0,346,13,7,2021,365,247,96,16,4,1,1,375,93,43,0,0,349,9,7
Fresno,2017,365,76,169,93,26,1,0,207,140,75,0,2,212,140,11,2018,365,61,206,79,19,0,0,185,133,75,0,0,210,151,4,2019,365,113,186,64,2,0,0,187,115,63,0,1,229,118,17,2020,366,75,192,59,31,8,1,346,154,76,0,0,149,204,13,2021,365,62,221,63,17,2,0,278,130,68,0,0,146,209,10
Glenn,2017,365,231,127,7,0,0,0,150,63,46,0,0,144,185,36,2018,363,242,105,9,6,1,0,255,71,39,0,0,130,185,48,2019,362,274,88,0,0,0,0,86,58,42,0,0,232,119,11,2020,364,200,135,7,19,3,0,221,84,46,0,0,151,202,11,2021,365,244,106,9,6,0,0,192,65,42,0,0,183,172,10
Humboldt,2017,365,298,59,5,3,0,0,180,61,37,1,1,230,123,10,2018,365,301,58,5,1,0,0,167,58,35,0,2,231,117,15,2019,363,340,23,0,0,0,0,69,44,28,2,1,253,70,37,2020,366,318,45,3,0,0,0,109,53,29,0,0,225,80,61,2021,365,333,32,0,0,0,0,64,48,29,12,0,219,78,56
Imperial,2017,365,73,250,37,2,2,1,328,104,64,0,2,139,163,61,2018,365,67,248,41,7,2,0,286,108,64,0,4,103,164,94,2019,365,94,250,19,2,0,0,185,93,61,0,0,185,128,52,2020,366,94,244,26,2,0,0,166,97,60,0,1,153,146,66,2021,365,84,252,22,4,1,2,436,97,60,0,0,134,126,105
Inyo,2017,365,195,145,16,3,0,6,2234,87,49,0,0,256,58,51,2018,365,192,136,26,7,2,2,638,101,49,0,0,291,44,30,2019,365,226,127,6,2,1,3,653,84,47,0,0,313,23,29,2020,366,158,153,23,16,8,8,705,130,57,0,0,218,128,20,2021,365,100,222,25,12,3,3,558,115,61,0,0,152,185,28
Kern,2017,365,59,167,115,24,0,0,197,140,85,0,0,236,121,8,2018,365,45,190,103,27,0,0,190,142,84,0,0,226,126,13,2019,365,91,179,87,6,1,1,553,122,69,0,1,228,108,28,2020,366,56,180,98,28,4,0,267,140,83,0,0,184,166,16,2021,365,35,202,97,29,1,1,314,147,84,0,0,151,199,15
Kings,2017,365,82,212,50,21,0,0,192,125,72,0,0,185,145,35,2018,365,68,239,49,9,0,0,190,114,70,0,0,161,160,44,2019,365,123,201,37,2,0,2,508,105,58,0,0,166,130,69,2020,366,76,220,54,13,2,1,548,124,70,0,0,118,199,49,2021,365,84,230,40,10,0,1,685,109,64,0,0,119,168,78
Lake,2017,362,350,10,1,1,0,0,172,44,35,0,0,346,15,1,2018,357,344,10,1,1,1,0,233,43,33,0,0,343,12,2,2019,360,360,0,0,0,0,0,50,42,31,0,0,351,8,1,2020,351,341,6,1,3,0,0,190,44,32,0,0,324,25,2,2021,356,348,7,0,1,0,0,157,43,33,0,0,335,19,2
Los Angeles,2017,365,9,237,73,38,8,0,224,156,79,0,20,156,189,0,2018,365,7,250,89,18,1,0,201,130,78,0,22,153,189,1,2019,365,34,245,57,28,1,0,201,136,72,0,24,166,170,5,2020,366,35,194,77,43,17,0,250,166,85,0,9,180,175,2,2021,365,9,259,70,26,1,0,281,143,79,0,13,148,199,5
Madera,2017,365,117,200,42,6,0,0,166,105,62,0,1,210,139,15,2018,365,122,208,30,5,0,0,169,100,58,0,0,181,160,24,2019,365,167,185,13,0,0,0,140,84,52,0,0,225,103,37,2020,366,104,209,34,15,4,0,275,113,64,0,0,173,174,19,2021,365,133,197,28,7,0,0,194,100,58,0,0,210,131,24
Marin,2017,365,224,133,5,3,0,0,164,62,44,0,6,86,273,0,2018,365,235,117,3,9,1,0,243,63,43,0,11,85,269,0,2019,363,291,71,1,0,0,0,133,55,37,0,10,151,202,0,2020,366,272,85,4,4,1,0,231,62,36,0,8,148,210,0,2021,365,267,98,0,0,0,0,88,60,38,0,2,149,214,0
Mariposa,2017,365,146,179,31,9,0,0,189,101,54,0,0,216,149,0,2018,365,156,169,10,13,15,2,352,108,53,0,0,226,139,0,2019,365,192,159,9,5,0,0,185,84,50,0,0,247,118,0,2020,366,195,123,27,10,6,5,1073,111,49,0,0,275,84,7,2021,365,193,140,25,7,0,0,162,97,49,0,0,292,73,0
Mendocino,2017,365,226,131,7,0,1,0,203,70,45,0,0,107,255,3,2018,364,217,126,13,6,1,1,376,69,46,0,0,81,282,1,2019,361,290,71,0,0,0,0,80,54,36,0,0,155,199,7,2020,366,240,103,10,10,0,3,716,79,40,0,0,112,252,2,2021,365,210,147,6,2,0,0,185,69,46,0,0,76,289,0
Merced,2017,364,127,203,31,3,0,0,161,100,58,0,0,173,189,2,2018,365,110,214,32,9,0,0,178,101,56,0,1,139,224,1,2019,365,176,182,7,0,0,0,119,80,51,0,0,202,161,2,2020,366,131,203,17,15,0,0,194,96,57,0,0,164,201,1,2021,365,155,177,31,2,0,0,166,100,54,0,0,210,151,4
Mono,2017,365,300,40,5,1,4,15,3767,63,18,0,0,0,40,325,2018,365,252,84,14,10,3,2,1049,85,27,0,0,0,234,131,2019,365,242,108,6,0,0,9,4227,83,34,0,0,0,322,43,2020,366,183,117,13,14,11,28,2088,224,51,0,0,0,331,35,2021,364,260,78,12,11,0,3,2971,84,27,0,0,0,241,123
