county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,asthma_rate,number_of_cases,y_pred,residual
Alameda,2013,365,105,252,8,0,0,0,122,81,56,0,4,37,324,0,65.05,9960.0,57.152449917911994,7.897550082088003
Amador,2013,365,301,62,2,0,0,0,108,61,38,0,0,365,0,0,78.0,255.0,58.92560852331507,19.07439147668493
Butte,2013,365,104,252,8,1,0,0,169,90,59,0,0,160,205,0,46.86,969.0,46.50565255797612,0.35434744202387947
Calaveras,2013,364,172,190,2,0,0,0,119,66,51,0,0,163,201,0,57.26,222.0,55.1804190835714,2.079580916428597
Colusa,2013,364,176,186,2,0,0,0,126,67,51,0,0,70,292,2,36.86,79.0,45.96199616942297,-9.101996169422968
Contra Costa,2013,365,117,245,3,0,0,0,115,73,55,0,0,47,318,0,66.12,6940.0,60.36771422665743,5.752285773342578
Del Norte,2013,126,121,5,0,0,0,0,75,27,16,0,0,0,102,24,51.58,137.0,56.02225614524761,-4.442256145247612
El Dorado,2013,365,221,121,23,0,0,0,147,90,45,0,0,361,4,0,34.8,576.0,39.99701380344329,-5.197013803443291
Fresno,2013,365,35,191,114,25,0,0,197,147,88,0,1,190,169,5,72.53,7209.0,71.39594326736231,1.1340567326376885
Glenn,2013,361,181,179,1,0,0,0,101,67,50,0,0,144,217,0,44.46,121.0,45.2889168667215,-0.8289168667214994
Humboldt,2013,365,226,138,1,0,0,0,108,62,44,1,0,84,279,1,73.98,961.0,62.99772742697788,10.982272573022122
Imperial,2013,365,137,189,35,3,1,0,207,101,58,4,26,186,67,82,69.11,1289.0,61.64890810010081,7.461091899899188
Inyo,2013,365,219,125,10,7,2,2,417,87,47,0,0,274,43,48,56.51,90.0,57.068595322994625,-0.558595322994627
Kern,2013,365,14,215,104,31,1,0,242,148,90,0,0,154,209,2,57.89,5219.0,55.29846311823239,2.5915368817676097
